dist_id,dist_label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,dist_mean,dist_var,dist_skew,mean_tortuosity,std_tortuosity,mean_resistance,std_resistance,mean_fractal_dim,std_fractal_dim,mean_lateral_dev,std_lateral_dev,mean_zero_cost_ratio,n_runs,grid_H,grid_W
139,exponential_lam=-0.40,0.333778,0.223738,0.149976,0.100532,0.067389,0.045172,0.03028,0.020297,0.013606,0.00912,0.006113,1.8965,4.6446,1.4067,1.608,0.1799,7.94,1.5903,1.0251,0.0808,8.545,3.497,0.8457,200,30,60
140,exponential_lam=-0.30,0.269107,0.19936,0.147689,0.109411,0.081054,0.060046,0.044483,0.032954,0.024413,0.018085,0.013398,2.437,6.2169,1.1028,1.5412,0.1633,15.015,2.2673,1.0374,0.0815,7.565,3.4123,0.7318,200,30,60
141,exponential_lam=-0.20,0.203857,0.166904,0.13665,0.111879,0.091599,0.074995,0.061401,0.050271,0.041158,0.033697,0.027589,3.1459,7.9601,0.7565,1.4827,0.1435,26.725,2.9313,1.0139,0.0823,7.135,3.1649,0.5973,200,30,60
142,exponential_lam=-0.10,0.142645,0.129071,0.116788,0.105674,0.095618,0.086519,0.078285,0.070835,0.064095,0.057995,0.052476,4.0198,9.4181,0.384,1.4402,0.1284,44.76,4.2334,1.0199,0.0839,6.755,2.9305,0.4615,200,30,60
143,exponential_lam=-0.00,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,5.0,10.0,0.0,1.3495,0.1102,72.7,5.4005,1.0032,0.0814,5.815,2.6125,0.315,200,30,60
144,exponential_lam=+0.10,0.052476,0.057995,0.064095,0.070835,0.078285,0.086519,0.095618,0.105674,0.116788,0.129071,0.142645,5.9802,9.4181,-0.384,1.2633,0.1051,105.835,6.3363,0.9938,0.0803,4.565,2.1043,0.2131,200,30,60
145,exponential_lam=+0.20,0.027589,0.033697,0.041158,0.050271,0.061401,0.074995,0.091599,0.111879,0.13665,0.166904,0.203857,6.8541,7.9601,-0.7565,1.1835,0.0782,141.815,6.9485,0.9808,0.0734,3.455,1.7531,0.1234,200,30,60
146,exponential_lam=+0.30,0.013398,0.018085,0.024413,0.032954,0.044483,0.060046,0.081054,0.109411,0.147689,0.19936,0.269107,7.563,6.2169,-1.1028,1.1167,0.0598,172.64,6.1514,0.9678,0.0649,2.52,1.4526,0.073,200,30,60
147,exponential_lam=+0.40,0.006113,0.00912,0.013606,0.020297,0.03028,0.045172,0.067389,0.100532,0.149976,0.223738,0.333778,8.1035,4.6446,-1.4067,1.0755,0.0551,196.895,6.5443,0.9728,0.0482,1.745,1.2641,0.0372,200,30,60
148,exponential_lam=+0.50,0.002662,0.004389,0.007236,0.011931,0.01967,0.03243,0.053469,0.088155,0.145343,0.239631,0.395084,8.5036,3.4191,-1.6555,1.0512,0.0357,216.845,5.6826,0.9665,0.0418,1.35,0.912,0.0175,200,30,60
