dist_id,dist_label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,dist_mean,dist_var,dist_skew,mean_tortuosity,std_tortuosity,mean_resistance,std_resistance,mean_fractal_dim,std_fractal_dim,mean_lateral_dev,std_lateral_dev,mean_zero_cost_ratio,n_runs,grid_H,grid_W,family,dijk_mean_resistance,dijk_std_resistance,dijk_mean_tortuosity,dijk_std_tortuosity,dijk_mean_lateral,greedy_mean_resistance,greedy_std_resistance,greedy_mean_tortuosity,greedy_std_tortuosity,greedy_mean_lateral,tau_gap,res_gap,efficiency
85,uniform_5to10,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,7.5,2.9167,-0.0,1.034,0.0216,332.815,3.8581,0.9476,0.0295,1.435,0.9328,0.0,200,50,100,uniform,332.435,4.410560077927181,1.0131000000000001,0.024523396684077516,1.35,494.45,35.46939370002307,1.5465999999999998,0.11172669453338706,9.815,0.5334999999999996,162.015,0.6723328951360097
46,uniform_0to6,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.0,0.0,0.0,0.0,3.0,4.0,-0.0,1.4163,0.1048,68.075,3.759,1.0006,0.058,9.02,3.8068,0.4685,200,50,100,uniform,67.61,4.089193996093661,1.4054000000000002,0.10858079454822393,9.415,133.145,16.883996020138127,1.6194,0.11863393296292278,10.35,0.21399999999999975,65.53500000000001,0.5077922565623944
58,uniform_1to9,0.0,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,0.0,5.0,6.6667,0.0,1.2352,0.0663,160.865,5.6254,0.9699,0.06,6.06,2.4733,0.0,200,50,100,uniform,161.925,5.221657162011687,1.2179,0.07166077261415965,6.1,273.795,30.16009168840948,1.7145,0.166645140988495,12.27,0.49659999999999993,111.87,0.591409631293486
93,uniform_8to9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,8.5,0.25,0.0,1.0,0.0,407.92,1.3501,0.9453,0.0,0.0,0.0,0.0,200,50,100,uniform,407.915,1.4520043329530987,0.9800000000000003,3.339027102258766e-16,0.0,416.56,3.970544815343767,0.9800000000000003,3.339027102258766e-16,0.0,0.0,8.644999999999982,0.979246687151911
95,obstacles_p10=0.000,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,4.5,8.25,-0.0,1.3929,0.0999,110.665,5.7207,0.9948,0.061,9.03,3.6436,0.3486,200,50,100,obstacles,110.42,5.936311901759784,1.3595999999999997,0.09781451012993828,8.525,220.61,31.123645456994,1.7627000000000002,0.2060558298741524,12.275,0.40310000000000046,110.19000000000001,0.5005212819001859
112,obstacles_p10=0.850,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.85,9.175,5.0944,-2.8008,1.0926,0.043,382.995,8.5845,0.9499,0.0488,3.085,1.7007,0.0819,200,50,100,obstacles,382.48,8.904834664496025,1.0785,0.04828464595682439,3.315,495.525,44.32372205358454,1.2601,0.12259337534464071,5.645,0.18159999999999998,113.04499999999996,0.7718682205741386
110,obstacles_p10=0.750,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.75,8.625,7.7344,-1.9117,1.1585,0.055,332.705,9.9176,0.9659,0.0521,4.685,2.1655,0.1237,200,50,100,obstacles,332.82,10.215644717046723,1.138,0.053425381203917634,4.63,483.84,66.82456142804268,1.4284999999999999,0.2007266948618214,7.66,0.2905,151.01999999999998,0.6878720238095238
96,obstacles_p10=0.050,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.05,4.775,9.2744,0.0229,1.3856,0.0952,118.315,6.7113,0.9912,0.0588,9.12,3.7638,0.337,200,50,100,obstacles,117.185,6.6575060596798075,1.3677,0.09041895785563164,8.73,234.925,38.1836263548663,1.797,0.24843429310372944,12.235,0.4293,117.74000000000001,0.49881877194849417
103,obstacles_p10=0.400,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.4,6.7,12.21,-0.5786,1.3198,0.0796,196.67,8.9556,0.9835,0.0636,7.55,2.9241,0.2321,200,50,100,obstacles,197.695,9.419960364371587,1.3007,0.0810577683448368,7.69,367.5,75.3684417382385,1.7747,0.35200204145136665,12.065,0.474,169.805,0.5379455782312925
100,obstacles_p10=0.250,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.25,5.875,11.8594,-0.243,1.3517,0.086,156.67,7.8996,0.9857,0.0676,7.795,3.431,0.2688,200,50,100,obstacles,157.495,7.325180293457513,1.3444,0.08849745191232837,8.55,311.61,71.26691212490616,1.8419999999999999,0.39282509821668055,13.6,0.4975999999999998,154.115,0.5054234459741344
106,obstacles_p10=0.550,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.55,7.525,11.1994,-1.0088,1.255,0.0706,247.2,9.1931,0.9753,0.0551,6.505,2.6731,0.1818,200,50,100,obstacles,248.43,9.177485012560842,1.2453999999999998,0.07821398299331389,6.87,424.22,97.90530549577538,1.6686,0.37709020820703915,10.705,0.42320000000000024,175.79000000000002,0.5856159539861392
98,obstacles_p10=0.150,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.15,5.325,10.8694,-0.07,1.3707,0.0812,134.635,7.5536,1.0018,0.0583,7.925,3.0996,0.3061,200,50,100,obstacles,135.355,6.794838049622891,1.3503,0.09133245912846243,8.275,267.31,60.280199170708634,1.8078,0.3627853719910069,12.83,0.4575,131.955,0.5063596573266993
115,low_res_p0=0.000,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.5,8.25,-0.0,1.244,0.0652,174.51,6.1864,0.9703,0.058,6.115,2.6222,0.0,200,50,100,low_resistance,175.46,5.967112548025554,1.2218,0.0665953051901321,6.28,307.265,47.866699065185024,1.7649000000000001,0.24888493032466544,12.475,0.5431000000000001,131.80499999999998,0.571038029062861
132,low_res_p0=0.850,0.85,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.825,5.0944,2.8008,1.0405,0.0171,0.0,0.0,0.9515,0.0337,1.495,0.6873,1.0,200,50,100,low_resistance,0.0,0.0,1.0199,0.018430638681582793,1.485,1.915,2.24566024806709,1.1274000000000002,0.07459936545730911,5.55,0.10750000000000015,1.915,0.0
