run,total_resistance,path_length,tortuosity,max_lateral_deviation,net_drift,avg_dev_from_start,fractal_dimension,zero_cost_ratio
111,123,70,1.4,9,-2,2.129,0.9835,0.2754
112,127,67,1.34,6,3,2.358,0.9072,0.3636
113,128,69,1.38,9,9,3.623,0.9442,0.3529
114,122,69,1.38,6,1,0.957,0.9404,0.2794
115,122,67,1.34,9,-5,4.358,1.0155,0.3333
116,120,67,1.34,8,-7,4.716,0.866,0.3182
117,126,71,1.42,6,-1,1.141,1.0619,0.3571
118,123,62,1.24,6,-2,1.5,0.9962,0.3115
119,126,59,1.18,3,1,0.492,1.0432,0.2414
120,115,66,1.32,6,0,1.288,1.009,0.3846
121,117,67,1.34,11,9,4.209,1.0246,0.2727
122,127,66,1.32,8,-6,3.773,0.9623,0.3077
123,123,70,1.4,8,-2,2.557,0.9878,0.3043
124,117,70,1.4,8,2,2.357,0.9878,0.4058
125,123,76,1.52,10,-4,2.947,1.0783,0.3467
126,129,69,1.38,9,-3,2.145,0.9775,0.2941
127,126,68,1.36,11,8,5.044,1.018,0.2836
128,114,74,1.48,10,6,6.149,1.0241,0.3151
129,111,65,1.3,5,-5,1.692,1.0167,0.3594
130,125,70,1.4,7,-2,1.443,0.98,0.3188
131,133,76,1.52,14,-6,2.882,1.0308,0.3733
132,132,69,1.38,14,13,8.406,0.9733,0.25
133,128,74,1.48,15,10,5.095,1.0798,0.3973
134,120,63,1.26,5,3,1.048,1.0124,0.2258
135,126,69,1.38,11,-11,4.884,1.037,0.2353
136,105,70,1.4,9,-6,2.929,1.0568,0.3623
137,121,73,1.46,6,3,2.041,1.006,0.3472
138,129,69,1.38,5,3,2.362,1.0997,0.3088
139,131,70,1.4,7,0,1.743,0.934,0.3043
140,124,68,1.36,5,2,1.868,0.9518,0.2985
141,123,66,1.32,7,4,1.894,1.0665,0.3231
142,127,70,1.4,12,-8,6.729,1.0007,0.3623
143,135,74,1.48,9,0,2.176,1.0234,0.274
144,118,73,1.46,15,15,7.493,1.0182,0.4583
145,122,70,1.4,7,6,4.071,0.9422,0.3188
146,124,69,1.38,4,-1,0.841,0.9945,0.2794
147,120,72,1.44,12,-10,7.681,1.051,0.3099
148,115,63,1.26,11,-11,4.365,0.9932,0.3548
149,132,66,1.32,6,-4,1.712,1.0178,0.2615
150,124,66,1.32,6,-2,2.333,0.9973,0.3538
151,119,72,1.44,16,12,8.014,0.9462,0.4085
152,126,66,1.32,7,-2,2.5,0.9007,0.2615
153,123,64,1.28,5,-2,2.453,0.9403,0.254
154,130,70,1.4,11,-6,3.657,1.047,0.3333
155,125,79,1.58,14,11,8.316,0.9878,0.3333
156,125,69,1.38,12,9,8.072,0.8869,0.3088
157,122,67,1.34,14,13,5.493,0.9645,0.3182
158,119,67,1.34,11,11,7.209,1.0291,0.303
159,123,66,1.32,4,-2,1.227,1.0551,0.3385
160,126,69,1.38,7,-1,1.522,0.9953,0.3382
161,121,64,1.28,8,6,1.5,1.0093,0.3492
162,119,73,1.46,8,1,1.973,1.0739,0.4028
163,124,66,1.32,4,-2,1.318,0.8755,0.2769
164,130,68,1.36,7,-4,1.471,0.9256,0.3134
165,126,76,1.52,9,8,5.303,0.982,0.3333
166,114,67,1.34,8,-7,2.672,1.0246,0.3333
167,145,63,1.26,4,-3,1.349,0.9469,0.2903
168,128,68,1.36,6,2,1.574,0.98,0.2836
169,132,68,1.36,7,4,3.044,1.0987,0.3433
170,122,73,1.46,9,5,5.164,1.0614,0.2083
171,131,75,1.5,11,-1,2.907,1.0769,0.3243
172,133,74,1.48,11,6,3.73,1.0445,0.3288
173,132,67,1.34,12,-11,5.642,0.9648,0.3182
174,114,71,1.42,6,3,2.268,0.9358,0.4
175,120,69,1.38,6,1,1.174,0.9903,0.4118
176,126,69,1.38,10,-9,5.058,1.0283,0.3382
177,128,67,1.34,6,1,3.03,1.0869,0.2879
178,128,70,1.4,5,4,1.686,0.855,0.3623
179,119,74,1.48,8,-2,3.068,0.9741,0.3836
180,129,71,1.42,15,15,8.183,0.9981,0.3571
181,128,74,1.48,10,-2,3.527,0.8316,0.3425
182,123,71,1.42,13,-13,3.915,1.0489,0.3286
183,126,75,1.5,9,5,4.307,1.0177,0.3378
184,136,65,1.3,6,1,2.062,0.998,0.2344
185,131,64,1.28,3,-2,1.469,0.8854,0.3333
186,112,69,1.38,9,-5,5.942,0.977,0.3235
187,121,69,1.38,5,1,1.681,0.9773,0.3088
188,113,70,1.4,7,6,1.914,0.9297,0.4058
189,118,74,1.48,13,-12,5.405,1.0588,0.411
190,136,69,1.38,7,1,3.232,1.037,0.25
191,123,74,1.48,10,-4,2.892,0.955,0.3699
192,126,73,1.46,8,3,2.356,0.9604,0.2778
193,124,71,1.42,10,3,4.31,0.9981,0.3
194,121,63,1.26,4,-1,0.921,1.051,0.3548
195,133,77,1.54,17,17,7.584,0.9344,0.3684
196,97,62,1.24,5,2,1.919,0.9105,0.3443
197,129,67,1.34,6,3,1.776,0.9277,0.2727
198,125,69,1.38,10,9,4.942,1.0455,0.3529
199,118,68,1.36,6,-2,2.074,1.0933,0.2836
200,127,63,1.26,6,-3,2.825,1.0597,0.3226
201,122,73,1.46,13,-11,3.397,0.9682,0.375
202,133,75,1.5,8,1,1.56,0.9268,0.3108
203,125,68,1.36,6,2,1.324,1.0933,0.2687
204,127,71,1.42,10,-9,2.704,1.0449,0.3286
205,128,66,1.32,9,-8,2.788,1.0271,0.3231
206,127,73,1.46,12,-9,3.712,1.0652,0.3472
207,134,73,1.46,4,-1,1.329,1.123,0.3472
208,133,71,1.42,6,1,1.352,1.0945,0.2714
209,125,74,1.48,9,-4,1.973,1.016,0.3288
210,123,75,1.5,7,1,1.293,1.0094,0.3514
211,116,69,1.38,4,1,1.594,0.8947,0.3824
212,117,70,1.4,11,-10,4.229,1.0568,0.4058
213,130,73,1.46,9,5,3.589,1.0457,0.3333
214,120,67,1.34,11,9,5.104,1.0111,0.303
215,121,75,1.5,11,-5,5.253,1.0728,0.3243
216,122,64,1.28,7,2,1.938,0.932,0.3175
217,139,68,1.36,9,8,4.529,1.031,0.2687
218,131,73,1.46,9,-9,5.082,1.0647,0.3472
219,109,76,1.52,9,-6,5.026,0.9659,0.4133
220,112,59,1.18,5,-5,2.356,1.0419,0.2931
221,118,69,1.38,11,9,2.333,1.0283,0.3235
222,129,67,1.34,5,-1,1.134,0.9688,0.3333
223,120,64,1.28,6,4,2.25,1.0671,0.254
224,132,73,1.46,10,9,5.068,0.9646,0.3611
225,122,70,1.4,6,-2,2.586,1.1188,0.3043
226,130,63,1.26,5,1,1.349,0.8763,0.1613
227,125,71,1.42,13,-7,7.0,0.9483,0.3429
228,115,80,1.6,12,2,3.838,1.0456,0.443
229,126,65,1.3,4,-1,1.169,0.8648,0.3438
230,124,69,1.38,7,-5,2.449,0.9112,0.25
231,123,73,1.46,10,1,3.137,0.9229,0.2778
232,126,68,1.36,8,-6,4.015,1.0184,0.3134
