run,total_resistance,path_length,tortuosity,max_lateral_deviation,net_drift,avg_dev_from_start,fractal_dimension,zero_cost_ratio
812,0,79,1.58,21,19,8.722,1.002,1.0
813,0,94,1.88,22,20,9.532,1.0478,1.0
814,10,82,1.64,11,-6,7.256,0.973,0.9877
815,0,69,1.38,3,-1,1.406,0.8348,1.0
816,0,77,1.54,11,9,5.403,1.0328,1.0
817,0,95,1.9,24,9,6.453,1.0042,1.0
818,10,103,2.06,18,15,6.748,1.0518,0.9902
819,10,79,1.58,18,-13,6.278,1.0524,0.9872
820,0,73,1.46,4,1,1.274,1.1029,1.0
821,0,109,2.18,40,37,21.266,1.0232,1.0
822,0,85,1.7,9,-1,1.918,0.9748,1.0
823,0,70,1.4,8,-4,1.714,1.0517,1.0
824,0,91,1.82,18,17,10.89,1.1184,1.0
825,0,80,1.6,24,-24,10.088,0.9553,1.0
826,0,98,1.96,12,4,2.439,1.0004,1.0
827,0,84,1.68,11,-4,3.202,1.0327,1.0
828,0,88,1.76,12,-4,4.17,0.9903,1.0
829,0,100,2.0,29,22,7.65,1.0091,1.0
830,0,81,1.62,15,9,3.556,0.9941,1.0
831,0,71,1.42,7,1,1.662,0.9896,1.0
832,0,84,1.68,16,-8,7.536,1.0175,1.0
833,0,83,1.66,15,15,9.952,1.0745,1.0
834,0,79,1.58,5,1,1.899,0.8775,1.0
835,0,97,1.94,24,15,9.113,1.0584,1.0
836,0,83,1.66,19,-19,8.193,0.9985,1.0
837,10,85,1.7,7,1,3.259,1.0262,0.9881
838,0,90,1.8,32,-28,17.6,1.0128,1.0
839,10,124,2.48,30,10,8.734,1.0537,0.9919
840,0,91,1.82,10,-1,3.363,1.0695,1.0
841,0,78,1.56,9,-2,2.449,0.9478,1.0
842,0,87,1.74,21,9,5.966,0.9641,1.0
843,0,92,1.84,25,-24,14.022,1.0355,1.0
844,0,92,1.84,17,16,4.141,1.1092,1.0
845,0,88,1.76,15,2,3.784,1.055,1.0
846,10,91,1.82,25,-21,8.44,0.9263,0.9889
847,10,76,1.52,13,10,3.474,1.0744,0.9867
848,0,77,1.54,8,-7,5.221,1.0332,1.0
849,0,84,1.68,11,8,3.798,1.0865,1.0
850,0,87,1.74,18,7,5.241,1.0467,1.0
851,0,79,1.58,17,15,5.304,1.0439,1.0
852,0,109,2.18,32,27,17.018,0.991,1.0
853,0,79,1.58,8,-3,4.089,1.0911,1.0
854,10,81,1.62,19,17,7.296,1.0471,0.9875
855,10,110,2.2,24,0,6.827,0.9948,0.9908
856,0,78,1.56,12,-12,4.987,0.9854,1.0
857,0,88,1.76,12,6,5.659,1.007,1.0
858,0,85,1.7,12,5,6.224,1.0165,1.0
859,0,75,1.5,9,-3,2.773,0.927,1.0
860,0,102,2.04,18,10,11.196,0.9534,1.0
861,10,83,1.66,10,-3,2.928,0.9993,0.9878
862,0,83,1.66,11,7,2.627,1.0577,1.0
863,10,106,2.12,35,30,14.16,1.0055,0.9905
864,0,84,1.68,24,-24,13.619,1.0141,1.0
865,0,95,1.9,11,9,6.011,1.0945,1.0
866,0,78,1.56,10,0,2.526,0.9708,1.0
867,0,74,1.48,8,4,3.176,1.0628,1.0
868,0,77,1.54,9,-7,5.532,0.9752,1.0
869,10,83,1.66,10,1,2.217,1.1277,0.9878
870,10,78,1.56,18,-16,9.615,1.0462,0.987
871,0,81,1.62,17,17,7.481,1.067,1.0
872,0,71,1.42,9,-7,3.408,0.9323,1.0
