run,total_resistance,path_length,tortuosity,max_lateral_deviation,net_drift,avg_dev_from_start,fractal_dimension,zero_cost_ratio
154,424,51,1.02,1,-1,0.431,0.9539,0.02
155,427,52,1.04,1,0,0.558,0.844,0.0588
156,431,50,1.0,0,0,0.0,0.9453,0.0408
157,417,53,1.06,3,-3,1.075,0.9655,0.0385
158,432,51,1.02,1,-1,0.529,0.891,0.1
159,424,51,1.02,1,1,0.569,0.9595,0.06
160,439,52,1.04,2,2,0.769,0.8994,0.0588
161,427,50,1.0,0,0,0.0,0.9453,0.0
162,426,50,1.0,0,0,0.0,0.9453,0.0408
163,426,53,1.06,2,1,1.415,0.9816,0.0577
164,426,53,1.06,1,1,0.566,0.9705,0.0385
165,428,50,1.0,0,0,0.0,0.9453,0.0408
166,430,51,1.02,1,-1,0.294,0.9595,0.04
167,433,51,1.02,1,-1,0.333,0.9595,0.06
168,433,51,1.02,1,-1,0.529,0.9539,0.02
169,431,55,1.1,4,3,0.891,0.8735,0.0741
170,424,52,1.04,1,0,0.327,0.844,0.0392
171,432,52,1.04,2,2,1.423,0.9572,0.0392
172,407,52,1.04,2,-2,1.673,0.9679,0.0392
173,428,52,1.04,2,2,1.173,0.9679,0.0196
174,434,53,1.06,3,3,1.547,0.9709,0.0577
175,421,52,1.04,1,0,0.231,0.9623,0.0784
176,429,53,1.06,2,-1,0.566,0.9762,0.0385
177,425,53,1.06,1,1,0.396,0.9705,0.0577
178,429,52,1.04,1,0,0.327,0.9623,0.098
179,430,53,1.06,2,-1,0.642,0.961,0.0192
180,424,52,1.04,2,2,0.404,0.8994,0.0784
181,419,50,1.0,0,0,0.0,0.9453,0.0612
182,426,52,1.04,2,-2,0.712,0.9679,0.0392
183,427,51,1.02,1,1,0.588,0.9539,0.06
184,435,50,1.0,0,0,0.0,0.9453,0.0612
185,421,54,1.08,1,0,0.574,1.0,0.0377
186,428,55,1.1,4,3,1.309,0.9344,0.0926
187,417,50,1.0,0,0,0.0,0.9453,0.0408
188,438,51,1.02,1,1,0.765,0.9539,0.04
189,428,53,1.06,3,-3,1.528,0.9131,0.0577
190,424,52,1.04,2,-2,1.212,0.9679,0.0392
