p0,p10,tortuosity,resistance
0.7063520482553219,0.29364795174467806,1.15,0
0.8308413874575642,0.1691586125424358,1.07,0
0.41145644876377613,0.5885435512362238,1.67,50
0.5673928626544389,0.4326071373455611,1.39,0
0.6719811648009014,0.3280188351990986,1.21,0
0.7140539532055843,0.2859460467944157,1.12,0
0.48147516442757193,0.5185248355724281,2.4,10
0.5229397424628677,0.4770602575371323,1.48,0
0.7574313018296234,0.24256869817037663,1.12,0
0.5972483028245023,0.40275169717549775,1.27,0
0.8000282508473524,0.1999717491526476,1.08,0
0.8177350189327176,0.1822649810672824,1.07,0
0.21748298588638867,0.7825170141136113,1.33,340
0.4960640314015032,0.5039359685984968,2.22,10
0.4214924585916219,0.5785075414083781,1.76,40
0.2042285186850724,0.7957714813149276,1.7,370
0.8831131116199962,0.11688688838000383,1.03,0
0.7051512928482984,0.29484870715170164,1.16,0
0.6721688362837084,0.3278311637162916,1.19,0
0.6321927283864025,0.3678072716135975,1.29,0
0.16277312221599757,0.8372268777840024,1.27,460
0.36965859848042765,0.6303414015195723,1.47,130
0.7480360664189776,0.2519639335810224,1.12,0
0.8341474213912534,0.16585257860874658,1.06,0
0.2325043043755521,0.7674956956244479,1.49,290
0.4314607743385027,0.5685392256614973,1.49,40
0.3339983410806303,0.6660016589193697,1.75,160
0.22286206376738155,0.7771379362326185,1.47,350
0.7819778576568901,0.2180221423431099,1.08,0
0.39627497976291404,0.603725020237086,2.03,70
0.27827139228086895,0.721728607719131,1.71,250
0.5626422968880188,0.4373577031119812,1.4,0
0.48084225334211994,0.5191577466578801,1.94,10
0.562651033261014,0.43734896673898604,1.38,0
0.4706687999379499,0.52933120006205,2.34,20
0.6451178532042405,0.35488214679575947,1.25,0
0.10360011534752944,0.8963998846524706,1.36,600
0.34714458737046777,0.6528554126295323,1.53,150
0.13697696508649823,0.8630230349135017,1.36,530
0.2775546227097814,0.7224453772902186,1.44,280
0.3675378542192614,0.6324621457807387,1.77,130
0.2477033750805796,0.7522966249194204,1.57,290
0.8264600371045061,0.1735399628954939,1.07,0
0.6932244130659919,0.3067755869340081,1.17,0
0.45752594929060325,0.5424740507093968,2.04,20
0.4577597324402957,0.5422402675597042,1.82,20
0.7749918149768588,0.22500818502314124,1.1,0
0.38432645480062677,0.6156735451993732,1.72,70
0.31874251856880875,0.6812574814311912,1.67,170
0.6765501372023222,0.32344986279767785,1.2,0
0.5893347422893159,0.4106652577106841,1.31,0
0.1820549313657061,0.817945068634294,1.52,420
0.7305994912820473,0.26940050871795274,1.15,0
0.7528968083943677,0.24710319160563232,1.12,0
0.3731404923685145,0.6268595076314856,1.56,110
0.7323233845943955,0.2676766154056045,1.14,0
0.40436102171216737,0.5956389782878326,2.04,80
0.8092703371641916,0.1907296628358084,1.07,0
0.6497880574302091,0.35021194256979093,1.25,0
0.1879372395972422,0.8120627604027578,1.34,450
0.19820766290354666,0.8017923370964534,1.7,400
0.4934034055381294,0.5065965944618707,1.72,10
0.8915781549573072,0.10842184504269281,1.01,0
0.3447882600382568,0.6552117399617432,1.81,170
0.8597062595657511,0.14029374043424891,1.03,0
0.8665158226283034,0.1334841773716966,1.02,0
0.11519767191859742,0.8848023280814026,1.45,610
0.17435945299568223,0.8256405470043178,1.53,440
0.3714081285512828,0.6285918714487172,1.55,110
0.41477685002159737,0.5852231499784026,1.68,60
0.846387865302987,0.15361213469701296,1.06,0
0.3777567176426564,0.6222432823573436,1.8,90
0.8979008629401869,0.1020991370598131,1.02,0
0.20036199041767563,0.7996380095823243,1.5,410
0.7339719413518615,0.2660280586481385,1.11,0
0.4753835766704767,0.5246164233295233,1.82,10
0.1957197207242901,0.8042802792757099,1.35,370
0.5476777014232203,0.45232229857677975,1.46,0
0.7460604979033495,0.2539395020966505,1.11,0
0.11616766771241026,0.8838323322875897,1.26,590
0.33218142823098157,0.6678185717690184,1.69,150
0.3284665647408699,0.6715334352591301,1.65,170
0.3770050838120777,0.6229949161879222,1.86,110
0.3199347379704125,0.6800652620295875,1.61,160
0.6819593729578999,0.3180406270421001,1.19,0
0.8453830423707309,0.15461695762926908,1.04,0
0.7187917976849973,0.28120820231500265,1.16,0
0.24652052339673675,0.7534794766032633,1.68,300
0.4696365215051517,0.5303634784948483,1.65,10
0.1979248491547808,0.8020751508452192,1.52,370
0.4011592437744126,0.5988407562255874,1.48,90
0.4615663931982562,0.5384336068017438,2.05,20
0.34107558574846597,0.658924414251534,1.76,150
0.12635469295064813,0.8736453070493518,1.32,550
0.6451788776094187,0.3548211223905813,1.2,0
0.15440485344864208,0.8455951465513579,1.33,500
0.7811578674488278,0.21884213255117224,1.1,0
0.8227350172005092,0.17726498279949077,1.05,0
0.3833919788883757,0.6166080211116243,1.79,100
0.4997558198863328,0.5002441801136672,1.73,0
0.6155129852543081,0.3844870147456919,1.28,0
0.11595141661844677,0.8840485833815532,1.37,590
0.226092837350636,0.773907162649364,1.53,350
0.21165448783254553,0.7883455121674545,1.32,380
0.4881906784000384,0.5118093215999616,1.68,0
0.6644807011277934,0.33551929887220655,1.21,0
0.5841773255044628,0.4158226744955372,1.4,0
0.16074685050008564,0.8392531494999144,1.43,460
0.5561693031378968,0.4438306968621032,1.37,0
0.41383396680865964,0.5861660331913403,1.82,40
0.7147655053358699,0.2852344946641301,1.16,0
0.10797226416508493,0.8920277358349151,1.16,630
0.5893042482658418,0.4106957517341582,1.25,0
0.4964243010522399,0.5035756989477601,1.95,0
0.6109698068559211,0.38903019314407894,1.28,0
0.7998177312776176,0.20018226872238243,1.08,0
