p0,p10,mean_r,var_r,tortuosity,resistance
0.7659458916420702,0.23405410835792984,2.340541083579298,17.927278271870428,1.12,0
0.10447841765943355,0.8955215823405664,8.955215823405664,9.356267790281452,1.31,650
0.3802303433726168,0.6197696566273831,6.197696566273832,23.565522935135874,2.0,90
0.5664413926389767,0.43355860736102325,4.335586073610233,24.55855413441933,1.47,0
0.2932592971731277,0.7067407028268723,7.067407028268723,20.72582817946509,1.68,240
0.7162742613250981,0.2837257386749019,2.837257386749019,20.322544388828316,1.13,0
0.91008258119712,0.08991741880287996,0.8991741880287996,8.183227659870743,1.02,0
0.7964902794841381,0.2035097205158619,2.0350972051586194,16.209351417141768,1.08,0
0.7456623639569089,0.2543376360430911,2.543376360430911,18.965000293510325,1.13,0
0.3935826153480424,0.6064173846519576,6.0641738465195765,23.86753402438373,1.86,80
0.2630051786750174,0.7369948213249826,7.369948213249826,19.383345466513955,1.62,230
0.5966918549271301,0.40330814507286994,4.0330814507287,24.065068519075083,1.26,0
0.3768339106538422,0.6231660893461578,6.231660893461578,23.483011443517427,1.57,100
0.17947071375775622,0.8205292862422437,8.205292862422437,14.726097666103776,1.35,420
0.6257381956646529,0.37426180433534706,3.7426180433534704,23.418990615099744,1.29,0
0.6371855381739149,0.3628144618260851,3.628144618260851,23.118012811593335,1.24,0
0.36315216594955246,0.6368478340504475,6.368478340504476,23.127267031570117,1.6,90
0.25758015541846024,0.7424198445815398,7.424198445815398,19.12326189530621,1.62,260
0.8399343618235255,0.16006563817647446,1.6006563817647446,13.44446296516324,1.05,0
0.7406799513479183,0.2593200486520817,2.593200486520817,19.207316101916366,1.13,0
0.3180460582505685,0.6819539417494316,6.819539417494315,21.689276308184446,1.58,200
0.698148465472855,0.30185153452714497,3.0185153452714495,21.07371856307528,1.17,0
0.3126229863077294,0.6873770136922706,6.8737701369227056,21.488985473976662,1.46,200
0.3138060462014871,0.6861939537985129,6.861939537985129,21.533181156887725,1.64,200
0.09306911628202848,0.9069308837179715,9.069308837179715,8.440725587651073,1.26,610
0.641695886730161,0.358304113269839,3.58304113269839,22.992227568375334,1.24,0
0.9259792095631325,0.07402079043686749,0.7402079043686749,6.854171301996885,1.0,0
0.9614673580682819,0.038532641931718126,0.38532641931718126,3.704787743748012,1.0,0
0.7029369075039965,0.2970630924960035,2.9706309249600347,20.881661157271438,1.14,0
0.588269579577276,0.411730420422724,4.11730420422724,24.22084813212509,1.33,0
0.26342952387877233,0.7365704761212277,7.365704761212277,19.403440982777564,1.91,270
0.8610457795764521,0.13895422042354788,1.3895422042354788,11.964594505003195,1.04,0
0.8210942255377112,0.17890577446228884,1.7890577446228884,14.689849832633751,1.06,0
0.523953444775671,0.47604655522432904,4.76046555224329,24.94262324833789,1.43,0
0.26792440106239906,0.7320755989376009,7.320755989376009,19.614091637775378,1.41,280
0.647804235207342,0.352195764792658,3.5219576479265804,22.81539080547727,1.26,0
0.3653980334884219,0.6346019665115781,6.346019665115781,23.1882310611216,1.63,110
0.5548882650855813,0.4451117349144187,4.451117349144187,24.698727835589498,1.37,0
0.17263570092361571,0.8273642990763843,8.273642990763843,14.283261569022763,1.32,450
0.41529465806110577,0.5847053419388942,5.847053419388942,24.2825005047015,1.89,50
0.876663382182497,0.12333661781750305,1.2333661781750305,10.812469652284225,1.02,0
0.8475965550087727,0.15240344499122727,1.5240344499122727,12.917663494603323,1.04,0
0.0649634870712301,0.9350365129287699,9.350365129287699,6.074323241877622,1.26,730
0.47841400289121255,0.5215859971087875,5.215859971087875,24.953404472881942,1.84,0
0.05229402367155195,0.9477059763284481,9.477059763284482,4.955935875979112,1.09,770
0.50178795435591,0.49821204564409005,4.9821204564409,24.999680321922117,1.92,0
0.6555058114506539,0.3444941885493461,3.444941885493461,22.581794260507365,1.2,0
0.2616851948680996,0.7383148051319004,7.383148051319004,19.320605365494433,1.59,230
0.6967771170014108,0.30322288299858924,3.0322288299858924,21.12787662246131,1.18,0
0.06895895359935829,0.9310410464006417,9.310410464006416,6.420361631783984,1.2,730
0.32886804429383054,0.6711319557061695,6.711319557061694,22.071385373618163,1.67,170
0.6206429072026293,0.37935709279737073,3.7935709279737075,23.54452889416978,1.28,0
0.29889732297613786,0.7011026770238622,7.011026770238622,20.95577132938362,1.36,240
0.281299797530333,0.7187002024696669,7.187002024696669,20.217022143972667,1.6,260
0.6919681217016516,0.30803187829834844,3.0803187829834844,21.31482402503399,1.16,0
0.8427801415110187,0.15721985848898135,1.5721985848898135,13.250177458568604,1.07,0
0.26972846829998276,0.7302715317000172,7.302715317000173,19.697502168852797,1.54,270
0.7337531926954994,0.26624680730450057,2.6624680730450057,19.535944490466072,1.14,0
0.2525065539858614,0.7474934460141386,7.474934460141386,18.874699418004667,1.4,290
0.663052949678292,0.336947050321708,3.36947050321708,22.34137356012084,1.21,0
0.42728382123814757,0.5727161787618524,5.727161787618524,24.471235734627427,2.3,30
0.9088888972852605,0.09111110271473954,0.9111110271473954,8.280986967684372,1.01,0
0.2553111603433734,0.7446888396566266,7.4468883965662656,19.01273717474937,1.4,280
0.7817095828295657,0.2182904171704343,2.182904171704343,17.063971094199207,1.06,0
0.646496685245628,0.353503314754372,3.5350331475437202,22.853872121204347,1.19,0
0.22854101250484457,0.7714589874951554,7.714589874951554,17.631001810810506,1.6,330
0.5235336248194169,0.4764663751805831,4.764663751805831,24.94461685028589,1.5,0
0.9501861325719696,0.0498138674280304,0.498138674280304,4.733244603989302,1.0,0
0.4005269590768166,0.5994730409231834,5.994730409231835,24.01051141294947,1.69,70
0.6610682169652297,0.33893178303477034,3.3893178303477036,22.40570294836417,1.2,0
0.7035614235596076,0.2964385764403924,2.964385764403924,20.856274683838603,1.15,0
0.37176905334139937,0.6282309466586007,6.282309466586007,23.355682431903915,1.69,110
0.49584058738369763,0.5041594126163024,5.041594126163024,24.998269928668734,1.62,0
0.5821460171139208,0.4178539828860792,4.178539828860792,24.325203187231946,1.29,0
0.17001342925804488,0.8299865707419551,8.299865707419551,14.110886312996467,1.45,480
0.7808172482857245,0.21918275171427548,2.191827517142755,17.114167306523374,1.08,0
0.5153677804433567,0.48463221955664326,4.846322195566433,24.97638313242448,1.84,0
0.49255952349508864,0.5074404765049114,5.074404765049114,24.994463930937986,2.73,0
0.7945093158480394,0.2054906841519606,2.054906841519606,16.326426287871975,1.08,0
0.4377639959578079,0.5622360040421921,5.6223600404219205,24.612667980086023,1.85,40
0.27767197325309473,0.7223280267469052,7.223280267469052,20.057024852282737,1.56,230
0.6789200654737643,0.32107993452623573,3.210799345262357,21.79876101708639,1.17,0
0.3765264592278934,0.6234735407721066,6.234735407721066,23.475428472919894,1.74,70
0.4052820137597037,0.5947179862402963,5.947179862402963,24.1028503082583,1.73,60
0.352681857783525,0.647318142216475,6.47318142216475,22.829736497388645,1.6,120
0.3587997164401789,0.6412002835598212,6.412002835598212,23.00624799226261,1.65,90
0.2802175364188077,0.7197824635811922,7.197824635811923,20.169566870218187,1.42,220
0.2774647995264229,0.7225352004735771,7.225352004735771,20.047808455018483,1.54,260
0.3148034710775436,0.6851965289224564,6.851965289224564,21.570224567507378,1.53,160
0.6682382181488131,0.3317617818511869,3.3176178185118688,22.16959019541124,1.23,0
0.6728835854936132,0.32711641450638684,3.271164145063868,22.011126586687254,1.17,0
0.31115061295758256,0.6888493870424175,6.888493870424175,21.433590901370323,1.7,200
0.23800919444291727,0.7619908055570828,7.619908055570828,18.136081780355088,1.51,300
0.8321633469853961,0.16783665301460393,1.6783665301460393,13.966751091945936,1.06,0
0.50922479573277,0.49077520426723,4.9077520426723,24.991490314368868,1.71,0
0.690869248911474,0.30913075108852595,3.0913075108852595,21.356892981996975,1.17,0
0.25105937524723076,0.7489406247527692,7.489406247527692,18.802856534770093,1.44,280
