dist_id,dist_label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,dist_mean,dist_var,dist_skew,mean_tortuosity,std_tortuosity,mean_resistance,std_resistance,mean_fractal_dim,std_fractal_dim,mean_lateral_dev,std_lateral_dev,mean_zero_cost_ratio,n_runs,grid_H,grid_W
25,bimodal_p0=0.625,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,3.75,23.4375,0.5164,1.2385,0.0384,0.0,0.0,0.9742,0.0612,5.615,2.1021,1.0,200,50,100
26,bimodal_p0=0.650,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,3.5,22.75,0.629,1.1991,0.0326,0.0,0.0,0.968,0.0647,4.885,1.8973,1.0,200,50,100
27,bimodal_p0=0.675,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,3.25,21.9375,0.7473,1.1717,0.0302,0.0,0.0,0.9639,0.0549,4.65,1.6157,1.0,200,50,100
28,bimodal_p0=0.700,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,21.0,0.8729,1.145,0.0273,0.0,0.0,0.9659,0.0511,3.975,1.3943,1.0,200,50,100
29,bimodal_p0=0.725,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,2.75,19.9375,1.0078,1.1219,0.0232,0.0,0.0,0.9575,0.0567,3.37,1.1959,1.0,200,50,100
30,bimodal_p0=0.750,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.5,18.75,1.1547,1.1025,0.023,0.0,0.0,0.9607,0.053,2.99,1.0797,1.0,200,50,100
31,bimodal_p0=0.775,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,2.25,17.4375,1.3171,1.0827,0.0206,0.0,0.0,0.9597,0.0415,2.68,1.0739,1.0,200,50,100
32,bimodal_p0=0.800,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,16.0,1.5,1.0701,0.0203,0.0,0.0,0.95,0.0486,2.29,0.9329,1.0,200,50,100
33,bimodal_p0=0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,1.75,14.4375,1.7107,1.0536,0.0176,0.0,0.0,0.9527,0.0377,1.895,0.8169,1.0,200,50,100
34,bimodal_p0=0.850,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.5,12.75,1.9604,1.0402,0.0174,0.0,0.0,0.951,0.0303,1.61,0.7284,1.0,200,50,100
35,bimodal_p0=0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.25,10.9375,2.2678,1.0259,0.015,0.0,0.0,0.9495,0.0242,1.09,0.5508,1.0,200,50,100
36,bimodal_p0=0.900,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,9.0,2.6667,1.0154,0.0091,0.0,0.0,0.946,0.0201,0.76,0.4397,1.0,200,50,100
37,bimodal_p0=0.925,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.75,6.9375,3.2271,1.012,0.0098,0.0,0.0,0.9487,0.0114,0.6,0.4911,1.0,200,50,100
38,bimodal_p0=0.950,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.5,4.75,4.1295,1.0074,0.0097,0.0,0.0,0.9479,0.0087,0.37,0.484,1.0,200,50,100
39,bimodal_p0=0.975,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.25,2.4375,6.0849,1.0023,0.0064,0.0,0.0,0.9465,0.0034,0.115,0.3198,1.0,200,50,100
40,bimodal_p0=1.000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9453,0.0,0.0,0.0,1.0,200,50,100
41,uniform_0to1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,1.7038,0.2358,0.175,0.3809,1.0137,0.0589,15.555,7.7393,0.9979,200,50,100
42,uniform_0to2,0.333333,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6667,0.0,1.62,0.1503,11.975,1.6425,1.0137,0.0599,13.33,5.7346,0.8585,200,50,100
43,uniform_0to3,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.25,0.0,1.5327,0.1282,25.52,2.1028,1.0107,0.0568,11.75,4.6891,0.7254,200,50,100
44,uniform_0to4,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.476,0.1059,39.735,2.8977,0.9988,0.0626,10.34,3.8338,0.6159,200,50,100
45,uniform_0to5,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.0,0.0,0.0,0.0,0.0,2.5,2.9167,0.0,1.4312,0.106,53.765,3.4129,1.0008,0.0639,8.96,3.7602,0.5347,200,50,100
46,uniform_0to6,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.0,0.0,0.0,0.0,3.0,4.0,-0.0,1.4163,0.1048,68.075,3.759,1.0006,0.058,9.02,3.8068,0.4685,200,50,100
47,uniform_0to7,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,3.5,5.25,0.0,1.3947,0.1004,82.64,4.8204,1.0007,0.0581,8.405,3.2548,0.4233,200,50,100
48,uniform_0to8,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,0.0,0.0,4.0,6.6667,0.0,1.3976,0.0926,96.785,5.1254,0.9899,0.0594,8.985,3.7396,0.3786,200,50,100
49,uniform_0to9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,4.5,8.25,-0.0,1.3779,0.0893,109.97,5.9731,0.9921,0.0682,8.685,3.6541,0.3446,200,50,100
50,uniform_0to10,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,5.0,10.0,0.0,1.3977,0.0952,124.755,6.8827,0.9877,0.0617,9.045,3.5829,0.3271,200,50,100
51,uniform_1to2,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.25,0.0,1.0634,0.0313,61.7,1.1862,0.9491,0.0437,2.24,1.2288,0.0,200,50,100
52,uniform_1to3,0.0,0.333333,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6667,0.0,1.1182,0.0409,75.69,1.786,0.9603,0.0492,3.725,1.7478,0.0,200,50,100
53,uniform_1to4,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.25,0.0,1.1598,0.0482,90.045,2.7092,0.9518,0.0591,4.725,2.0074,0.0,200,50,100
54,uniform_1to5,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.1847,0.0559,104.35,2.7596,0.96,0.0596,5.115,2.2286,0.0,200,50,100
55,uniform_1to6,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.0,0.0,0.0,0.0,3.5,2.9167,0.0,1.2029,0.0572,118.51,3.3325,0.9652,0.0604,5.64,2.3597,0.0,200,50,100
56,uniform_1to7,0.0,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.0,0.0,0.0,4.0,4.0,-0.0,1.2089,0.062,132.595,4.1457,0.9679,0.0581,5.45,2.3655,0.0,200,50,100
57,uniform_1to8,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,4.5,5.25,0.0,1.219,0.0667,146.655,5.1457,0.9702,0.0599,5.94,2.6231,0.0,200,50,100
58,uniform_1to9,0.0,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,0.0,5.0,6.6667,0.0,1.2352,0.0663,160.865,5.6254,0.9699,0.06,6.06,2.4733,0.0,200,50,100
59,uniform_1to10,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.5,8.25,-0.0,1.2379,0.0619,175.135,6.3362,0.9758,0.0622,5.985,2.1745,0.0,200,50,100
60,uniform_2to3,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.25,0.0,1.0196,0.0178,112.74,1.4501,0.9475,0.02,0.915,0.8314,0.0,200,50,100
61,uniform_2to4,0.0,0.0,0.333333,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6667,0.0,1.0495,0.0281,129.265,2.0286,0.9512,0.0319,1.96,1.2675,0.0,200,50,100
62,uniform_2to5,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,3.5,1.25,0.0,1.0785,0.0341,144.73,2.5057,0.9542,0.0431,2.755,1.2975,0.0,200,50,100
63,uniform_2to6,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0985,0.0424,160.36,3.1208,0.9566,0.0485,3.27,1.7925,0.0,200,50,100
64,uniform_2to7,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.0,0.0,0.0,4.5,2.9167,0.0,1.1145,0.0463,175.15,4.2636,0.9586,0.0478,3.62,1.8957,0.0,200,50,100
